name,amenity,country,iso3,source,latitude,longitude,building,addr_city,operator
Les Écoles Privées Sainte Philomène,school,Burkina Faso,BFA,HOTOSM/OSM,12.424005,-1.598277,,,
Lycée Privé TOUNDA-SIDA,college,Burkina Faso,BFA,HOTOSM/OSM,12.425443,-1.592632,,,
OSMANLI SIDDIKLAR,school,Burkina Faso,BFA,HOTOSM/OSM,12.427205,-1.594542,,,
WEND SONGDA,school,Burkina Faso,BFA,HOTOSM/OSM,12.427542,-1.591086,,,
École Primaire Privée Teel-Taaba,school,Burkina Faso,BFA,HOTOSM/OSM,12.426599,-1.58711,,,
Groupe Scolaire E.D.I.F,school,Burkina Faso,BFA,HOTOSM/OSM,12.420245,-1.591561,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.342152,-1.435469,,,
Groupe Scolaire la Relève Vaillante,school,Burkina Faso,BFA,HOTOSM/OSM,12.423118,-1.600397,,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.34362,-1.440674,school,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.344299,-1.439061,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.34291,-1.436756,,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.340193,-1.441853,school,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.334632,-1.426702,,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.339407,-1.426607,school,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.335658,-1.430732,school,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.338523,-1.432497,school,,
Lycée Technique Abbé Pierre,school,Burkina Faso,BFA,HOTOSM/OSM,12.421294,-1.592076,,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.367584,-1.42942,school,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.361372,-1.434846,,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.359522,-1.430672,school,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.363138,-1.422277,school,,
Ecole,school,Burkina Faso,BFA,HOTOSM/OSM,12.375395,-1.420201,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.352405,-1.44103,,,
Ecole,school,Burkina Faso,BFA,HOTOSM/OSM,12.375682,-1.432314,,,
Ecole,school,Burkina Faso,BFA,HOTOSM/OSM,12.378576,-1.429127,,,
Ecole Bethsaleel,school,Burkina Faso,BFA,HOTOSM/OSM,12.390534,-1.433147,,,
lycée privé Elisa,school,Burkina Faso,BFA,HOTOSM/OSM,12.3854,-1.428712,,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.382938,-1.432503,school,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.37142,-1.428762,school,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.347119,-1.442338,school,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.356528,-1.441669,,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.353686,-1.443568,school,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.352894,-1.442508,school,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.35291,-1.439416,school,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.357587,-1.440043,,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.363096,-1.436308,school,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.360296,-1.440798,school,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.364161,-1.441074,school,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.36543,-1.44106,,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.368131,-1.436054,school,,
Ecole primaire de Veh,school,Burkina Faso,BFA,HOTOSM/OSM,12.847847,-2.472266,,,
Ecole primaire de Kalamtogo,school,Burkina Faso,BFA,HOTOSM/OSM,12.846336,-2.515258,,,
