name,amenity,country,iso3,source,latitude,longitude,building,addr_city,operator
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.397642,-1.435261,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.393857,-1.424588,,,
ecole Elysa,school,Burkina Faso,BFA,HOTOSM/OSM,12.389003,-1.457026,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.399999,-1.422717,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.403878,-1.426043,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.407192,-1.426804,,,
Complexe scolaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.405646,-1.430414,,,
Complexe scolaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.4077,-1.433139,,,
Ecole Famille,school,Burkina Faso,BFA,HOTOSM/OSM,12.391205,-1.454374,,,
Lycee Privé Oudisongdé,school,Burkina Faso,BFA,HOTOSM/OSM,12.400365,-1.462369,,,
Ecole Anny Simone,school,Burkina Faso,BFA,HOTOSM/OSM,12.401031,-1.462534,,,
Crèche maternelle bilingue Blessing,school,Burkina Faso,BFA,HOTOSM/OSM,12.402991,-1.467604,,,
École Wayalgin D,school,Burkina Faso,BFA,HOTOSM/OSM,12.397531,-1.46093,,,
Lycée William Ponty,school,Burkina Faso,BFA,HOTOSM/OSM,12.395858,-1.461923,,,
Lycée Newton Descartes,school,Burkina Faso,BFA,HOTOSM/OSM,12.393792,-1.469352,,,
Ecole Wayalguin A B,school,Burkina Faso,BFA,HOTOSM/OSM,12.393913,-1.470195,,,
Grand Séminaire Saint jean-baptiste,university,Burkina Faso,BFA,HOTOSM/OSM,12.395456,-1.476524,,,
ecole Wayalgin C,school,Burkina Faso,BFA,HOTOSM/OSM,12.39886,-1.48005,,,
Groupe scolaire la source,school,Burkina Faso,BFA,HOTOSM/OSM,12.401833,-1.476777,,,
Ecole,school,Burkina Faso,BFA,HOTOSM/OSM,12.415991,-1.440789,,,
Ecole,school,Burkina Faso,BFA,HOTOSM/OSM,12.415108,-1.439233,,,
Ecole,school,Burkina Faso,BFA,HOTOSM/OSM,12.410272,-1.436039,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.397579,-1.436444,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.398445,-1.43626,,,
Complexe scolaire William Ponti,school,Burkina Faso,BFA,HOTOSM/OSM,12.401976,-1.436867,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.344041,-1.432276,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.34637,-1.431999,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.342479,-1.426734,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.341797,-1.425695,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.357242,-1.423701,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.356155,-1.432412,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.356514,-1.435148,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.354003,-1.432152,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.350285,-1.431617,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.346583,-1.42894,,,
Ecole,school,Burkina Faso,BFA,HOTOSM/OSM,12.34824,-1.434365,,,
Ecole,school,Burkina Faso,BFA,HOTOSM/OSM,12.348349,-1.43935,,,
