Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities,Latitude,Longitude
Afghanistan,Panjshir,Shutul,AFG,AF0806,AF08,October,2023,0,0,35.4338536,69.7930899
Afghanistan,Helmand,Nawa-i-Barikzayi,AFG,AF3003,AF30,October,2023,0,0,31.0,64.0
Afghanistan,Paktika,Yosuf Khel,AFG,AF1203,AF12,October,2023,0,0,33.0400575,68.6272841
Afghanistan,Kabul,Paghman,AFG,AF0102,AF01,October,2023,0,0,34.54808,68.937163
Afghanistan,Kunar,Sawkai,AFG,AF1509,AF15,October,2023,0,0,34.95,71.133333
Afghanistan,Faryab,Khani Charbagh,AFG,AF2914,AF29,October,2023,0,0,37.110989,65.229689
Afghanistan,Kunar,Chapa Dara,AFG,AF1513,AF15,October,2023,0,0,34.959001,70.703226
Afghanistan,Badakhshan,Kufab,AFG,AF1721,AF17,October,2023,0,0,37.943122,70.691406
Afghanistan,Nimruz,Char Burjak,AFG,AF3404,AF34,October,2023,0,0,30.2801097,62.0592888
Afghanistan,Kabul,Shakar Dara,AFG,AF0106,AF01,October,2023,1,3,34.6234003,69.0331636
Afghanistan,Ghazni,Zanakhan,AFG,AF1108,AF11,October,2023,0,0,33.67916,68.665904
Afghanistan,Kunar,Ghazi Abad,AFG,AF1511,AF15,October,2023,0,0,34.6659206,70.7481054
Afghanistan,Zabul,Shemel Zayi,AFG,AF2610,AF26,October,2023,0,0,32.3068942,67.129904
Afghanistan,Daykundi,Nili,AFG,AF2401,AF24,October,2023,1,0,33.7582445,66.074779
Afghanistan,Paktika,Yahya Khel,AFG,AF1204,AF12,October,2023,0,0,32.923075,68.662351
Afghanistan,Kandahar,Ghorak,AFG,AF2709,AF27,October,2023,0,0,32.043898,65.195661
Afghanistan,Ghazni,Nawa,AFG,AF1119,AF11,October,2023,0,0,32.3591713,67.9171794
Afghanistan,Ghor,Shahrak,AFG,AF2306,AF23,October,2023,0,0,34.102391,64.335514
Afghanistan,Kabul,Surubi,AFG,AF0115,AF01,October,2023,0,0,34.6527692,69.7207148
Afghanistan,Daykundi,Kejran,AFG,AF2408,AF24,October,2023,0,0,33.725113,66.2196554
Afghanistan,Nimruz,Zaranj,AFG,AF3401,AF34,October,2023,0,0,30.9317531,62.0020915
Afghanistan,Badakhshan,Yamgan,AFG,AF1718,AF17,October,2023,0,0,36.436843,70.791308
Afghanistan,Kabul,Deh Sabz,AFG,AF0105,AF01,October,2023,0,0,34.665549,69.307999
Afghanistan,Daykundi,Shahristan,AFG,AF2402,AF24,October,2023,0,0,33.7160263,66.4516779
Afghanistan,Ghor,Chighcheran,AFG,AF2301,AF23,October,2023,3,1,34.1605257,64.9201949
Afghanistan,Herat,Herat,AFG,AF3201,AF32,October,2023,1,0,34.3669836,62.2580688
Afghanistan,Baghlan,Tala Wa Barfak,AFG,AF0911,AF09,October,2023,0,0,35.275246,68.380681
